days,US,CN,JP,DE,IN,FR,UK,BR,IT,CA
0,108,106,102,126,109,127,115,114,107,109
1,150,132,109,149,114,148,158,136,148,138
2,150,170,119,198,149,175,194,159,197,187
3,260,213,136,253,166,244,250,201,233,231
4,340,259,148,325,199,372,285,241,366,280
5,471,304,154,389,239,450,359,299,464,323
6,590,361,161,455,273,562,508,359,631,380
7,801,426,171,583,308,674,694,432,827,435
8,1050,492,186,732,339,860,877,486,1016,509
9,1296,564,186,872,377,1100,1161,553,1268,569
10,1707,637,287,1017,414,1331,1455,667,1441,653
11,2191,723,317,1158,437,1696,1669,800,1811,717
12,2509,812,334,1342,480,1995,2043,941,2158,780
13,3170,909,348,1434,507,2314,2425,1056,2505,903
14,4079,1017,351,1607,543,2606,3095,1124,2978,1010
15,5138,1114,376,1861,590,3024,3747,1223,3407,1193
16,6053,1368,389,2107,640,3523,4461,1328,4032,1309
17,7157,1381,415,2373,681,4032,5221,1532,4827,1467
18,8501,1524,432,2544,718,4503,5865,1736,5476,1580
19,9647,1666,458,2673,775,6507,6433,1924,6077,1690
20,10989,1771,492,2799,824,7560,7471,2141,6820,1834
21,12895,1869,510,2969,872,8078,8505,2347,7505,1974
22,14817,2008,521,3254,934,8911,9608,2462,8165,2146
23,16690,2120,543,3569,1007,10328,10760,2575,9136,2302
24,18777,2238,551,3868,1074,10869,11599,2741,10023,2465
25,20608,2347,557,4110,1147,12210,12285,2906,10781,2560
26,22108,2445,601,4294,1218,13197,13029,3313,11591,2707
27,23649,2595,613,4404,1301,13832,14073,3670,12430,2859
28,26057,2665,621,4598,1373,14393,14915,4016,13157,2996
29,30985,2717,643,4879,1568,14967,15944,4205,13917,3184
30,33284,2746,668,5094,1694,15729,16879,4543,14681,3391
31,37054,2790,687,5321,1783,17167,17994,5017,15362,3566
32,38910,2837,710,5500,1886,17920,18492,5466,15889,3682
33,40682,2872,725,5640,1981,18681,19051,5901,16525,3854
34,42539,2914,744,5750,2109,19323,20223,6329,17129,4043
35,45063,2946,749,5913,2206,19718,21060,6750,17669,4232
36,46784,2983,763,6115,2293,20265,21787,7025,18281,4408
37,49963,3014,771,6288,2415,20796,22792,7321,18851,4569
38,51017,3044,777,6288,2549,21340,23635,7921,19470,4693
39,53189,3072,796,6575,2649,21856,24055,8536,19901,4871
40,54876,3099,808,6649,2752,22245,24393,9146,20465,4993
41,56245,3122,820,6692,2872,22614,25302,9897,21069,5169
42,58355,3139,830,6831,3029,22856,26097,10627,21647,5304
43,60966,3161,,6996,3163,23293,26771,11123,22172,5472
44,63006,3172,,7119,3303,23660,27510,11519,22747,5562
45,65068,3179,,7266,3435,24087,28131,12400,23227,5679
46,66385,3194,,7369,3583,24376,28446,13149,23660,5782
47,67682,3203,,7395,3720,24594,28734,13993,24114,5842
48,68934,3216,,7417,3867,24760,29427,14817,24648,5912
49,71078,3225,,7533,4021,24895,30076,15633,25085,6030
50,73431,3241,,7634,,25201,30615,16118,25549,6152
51,75670,3249,,7723,,25531,31241,16792,25969,6250
52,77180,3253,,7824,,25809,31587,17971,26384,6355
53,78794,3259,,7881,,25987,31855,18859,26644,6424
54,79528,3265,,7914,,26230,32065,20047,26977,
55,80684,3274,,7935,,26310,32692,21048,27359,
56,82387,3281,,8007,,26380,33186,22013,27682,
57,84133,3285,,8090,,26643,33614,22666,27967,
58,85906,3291,,8147,,26991,33998,,28236,
59,87568,3296,,8174,,27074,34466,,28710,
60,88754,3299,,8216,,27425,34636,,28884,
61,89562,3304,,8247,,27555,34796,,29079,
62,90353,3306,,8257,,27643,35341,,29315,
63,91921,3309,,,,27711,35704,,29684,
64,93439,3310,,,,27897,36042,,29958,
65,94702,3316,,,,28022,36393,,30201,
66,96007,3326,,,,28132,36675,,30395,
67,97087,3330,,,,28215,36793,,30560,
68,97720,3333,,,,28289,,,30739,
69,,3335,,,,28332,,,30911,
70,,3335,,,,28367,,,31106,
71,,3337,,,,,,,31368,
72,,3339,,,,,,,31610,
73,,3340,,,,,,,31763,
74,,3343,,,,,,,31908,
75,,3343,,,,,,,32007,
76,,3345,,,,,,,32169,
77,,3345,,,,,,,32330,
78,,3346,,,,,,,32486,
79,,3346,,,,,,,32616,
80,,4636,,,,,,,32735,
81,,4636,,,,,,,32785,
82,,4636,,,,,,,,
83,,4636,,,,,,,,
84,,4636,,,,,,,,
85,,4636,,,,,,,,
86,,4636,,,,,,,,
87,,4636,,,,,,,,
88,,4636,,,,,,,,
89,,4636,,,,,,,,
90,,4637,,,,,,,,
91,,4637,,,,,,,,
92,,4637,,,,,,,,
93,,4637,,,,,,,,
94,,4637,,,,,,,,
95,,4637,,,,,,,,
96,,4637,,,,,,,,
97,,4637,,,,,,,,
98,,4637,,,,,,,,
99,,4637,,,,,,,,
