days,US,CN,JP,DE,IN,FR,UK,BR,IT,CA
0.00 ,1.45 ,1.69 ,3.45 ,0.18 ,1.33 ,9.09 ,0.61 ,0.34 ,2.53 ,1.30 
1.00 ,2.25 ,1.69 ,3.33 ,0.15 ,2.41 ,9.09 ,0.97 ,0.93 ,1.52 ,1.08 
2.00 ,5.83 ,1.69 ,2.63 ,0.19 ,2.22 ,8.33 ,0.73 ,0.97 ,2.62 ,0.97 
3.00 ,7.20 ,1.69 ,1.92 ,0.21 ,2.15 ,8.33 ,0.93 ,1.22 ,3.42 ,0.72 
4.00 ,6.92 ,3.39 ,1.69 ,0.16 ,2.40 ,8.33 ,1.88 ,1.60 ,3.00 ,0.57 
5.00 ,5.15 ,3.39 ,1.69 ,0.21 ,2.19 ,8.33 ,1.54 ,1.62 ,2.62 ,0.41 
6.00 ,4.14 ,3.17 ,1.52 ,0.25 ,1.82 ,8.33 ,1.53 ,1.80 ,2.36 ,0.33 
7.00 ,3.93 ,2.50 ,1.19 ,0.22 ,2.09 ,8.33 ,1.41 ,2.09 ,2.57 ,0.94 
8.00 ,3.79 ,1.39 ,1.08 ,0.18 ,1.73 ,8.33 ,2.46 ,2.34 ,2.07 ,1.41 
9.00 ,3.45 ,1.28 ,0.95 ,0.16 ,1.25 ,8.33 ,3.09 ,2.64 ,2.55 ,1.30 
10.00 ,2.73 ,1.55 ,0.76 ,0.30 ,1.59 ,8.33 ,4.21 ,2.69 ,3.20 ,1.18 
11.00 ,2.29 ,3.23 ,0.69 ,0.25 ,1.83 ,7.14 ,4.15 ,2.92 ,3.46 ,1.24 
12.00 ,2.41 ,2.73 ,0.69 ,0.31 ,1.60 ,11.76 ,4.37 ,3.20 ,3.84 ,1.38 
13.00 ,2.16 ,2.95 ,0.61 ,0.38 ,2.00 ,5.26 ,4.82 ,3.47 ,4.25 ,1.40 
14.00 ,1.93 ,3.10 ,1.61 ,0.43 ,2.35 ,3.51 ,4.87 ,3.52 ,3.96 ,1.46 
15.00 ,1.83 ,2.82 ,1.43 ,0.47 ,2.18 ,2.00 ,4.98 ,3.53 ,4.96 ,1.38 
16.00 ,1.82 ,2.92 ,1.30 ,0.54 ,2.55 ,1.54 ,5.01 ,3.78 ,5.06 ,1.03 
17.00 ,1.68 ,2.34 ,2.09 ,0.60 ,2.71 ,1.69 ,5.40 ,3.96 ,6.22 ,0.97 
18.00 ,1.59 ,2.20 ,2.36 ,0.67 ,2.56 ,1.89 ,6.29 ,4.20 ,6.64 ,1.13 
19.00 ,1.05 ,2.20 ,2.36 ,0.74 ,2.51 ,1.40 ,7.28 ,4.37 ,6.72 ,1.11 
20.00 ,1.32 ,2.19 ,2.24 ,0.79 ,2.54 ,1.65 ,7.52 ,4.59 ,7.18 ,0.98 
21.00 ,1.27 ,2.19 ,1.89 ,0.94 ,2.43 ,1.47 ,7.98 ,4.86 ,6.81 ,1.20 
22.00 ,1.34 ,2.11 ,1.72 ,1.09 ,2.34 ,1.40 ,8.51 ,5.02 ,7.55 ,1.12 
23.00 ,1.27 ,2.10 ,1.47 ,1.19 ,2.28 ,1.69 ,8.55 ,5.27 ,7.71 ,1.14 
24.00 ,1.45 ,2.08 ,1.32 ,1.28 ,2.68 ,2.12 ,9.23 ,5.38 ,7.95 ,1.22 
25.00 ,1.52 ,2.02 ,1.43 ,1.35 ,2.58 ,1.85 ,9.64 ,5.42 ,8.34 ,1.49 
26.00 ,1.51 ,2.01 ,1.75 ,1.46 ,2.87 ,2.10 ,10.50 ,5.52 ,8.30 ,1.66 
27.00 ,1.63 ,2.04 ,2.11 ,1.50 ,2.90 ,2.12 ,11.11 ,5.67 ,8.57 ,1.81 
28.00 ,1.76 ,2.09 ,2.42 ,1.62 ,3.10 ,2.16 ,11.69 ,6.06 ,9.01 ,1.94 
29.00 ,1.75 ,2.18 ,2.81 ,1.80 ,3.21 ,2.02 ,12.46 ,6.13 ,9.26 ,2.12 
30.00 ,1.93 ,2.26 ,2.85 ,1.95 ,3.27 ,2.34 ,12.27 ,6.32 ,9.51 ,2.26 
31.00 ,2.15 ,2.38 ,2.82 ,2.09 ,3.37 ,2.23 ,12.47 ,6.36 ,9.86 ,2.45 
32.00 ,2.37 ,2.49 ,2.95 ,2.16 ,3.27 ,2.26 ,13.52 ,6.41 ,10.09 ,2.57 
33.00 ,2.47 ,2.29 ,3.40 ,2.22 ,3.30 ,2.67 ,14.00 ,6.37 ,10.14 ,2.80 
34.00 ,2.57 ,2.16 ,3.38 ,2.28 ,3.34 ,3.38 ,14.76 ,6.35 ,10.56 ,2.94 
35.00 ,2.72 ,2.29 ,3.32 ,2.37 ,3.26 ,3.57 ,15.31 ,6.36 ,10.84 ,3.04 
36.00 ,2.86 ,2.43 ,3.47 ,2.55 ,3.34 ,3.89 ,14.68 ,6.35 ,11.04 ,3.34 
37.00 ,2.98 ,2.51 ,3.48 ,2.74 ,3.23 ,4.21 ,14.58 ,6.69 ,11.39 ,3.56 
38.00 ,3.23 ,2.58 ,3.44 ,2.89 ,3.15 ,4.33 ,14.70 ,6.93 ,11.75 ,3.97 
39.00 ,3.43 ,2.70 ,3.76 ,2.99 ,3.17 ,4.93 ,14.99 ,6.86 ,11.90 ,4.11 
40.00 ,3.58 ,2.84 ,3.72 ,3.07 ,3.20 ,5.27 ,15.15 ,6.79 ,12.08 ,4.40 
