days,United States,China,Japan,Germany,India,France,United Kingdom,Brazil,Italy,Canada,United States rate,China rate,Japan rate,Germany rate,India rate,France rate,United Kingdom rate,Brazil rate,Italy rate,Canada rate
1,1,27,1,1,1,3,2,1,3,1,0,0,0,1.386294361,0,0,0,0,0,0
2,1,27,1,4,1,3,2,1,3,1,0,0,0,0,0,0,0,0,0,0.693147181
3,1,27,1,4,1,3,2,1,3,2,0,0.488352768,0,0.223143551,0.693147181,0,0,0,0,0.405465108
4,1,44,1,5,2,3,2,1,3,3,0.693147181,0,0,0.336472237,0,0.287682072,0,0.693147181,0,0
5,2,44,1,7,2,4,2,2,3,3,0,0.29334781,0,0.133531393,0.405465108,0.223143551,0,0,0,0
6,2,59,1,8,3,5,2,2,3,3,0.916290732,0,0,0.117783036,0,0.182321557,0,0,0,0.287682072
7,5,59,1,9,3,6,2,2,3,4,0,0,0,0.200670695,0,0,0.405465108,0,0,0
8,5,59,1,11,3,6,3,2,3,4,0,0,0,0,0,0,0,0.405465108,0,0
9,5,59,1,11,3,6,3,3,3,4,0,0,0.693147181,0,0,0,0.287682072,0.980829253,0,0
10,5,59,2,11,3,6,4,8,3,4,0.182321557,0,0,0.087011377,0,0,0,0.485507816,0,0.223143551
11,6,59,2,12,3,6,4,13,3,5,0.15415068,0,0.405465108,0.080042708,0,0,0.693147181,0,0,0
12,7,59,3,13,3,6,8,13,3,5,0.133531393,0,0,0,0,0,0,0.653926467,0,0.336472237
13,8,59,3,13,3,6,8,25,3,7,0.318453731,0,0.287682072,0,0,0,0.117783036,0,0,0
14,11,59,4,13,3,6,9,25,3,7,0,0,0.559615788,0,0,0.606135804,0,0.3074847,0,0
15,11,59,7,13,3,11,9,34,3,7,0,0,0.451985124,0.143100844,0,0,0,0.424883194,0,0
16,11,59,11,15,3,11,9,52,3,7,0.087011377,0,0.241162057,0,0,0,0,0.392561703,0,0
17,12,59,14,15,3,11,9,77,3,7,0,0.065597282,0.068992871,0,0,0,0,0.241162057,0,0
18,12,63,15,15,3,11,9,98,3,7,0,0.238891908,0.236388778,0,0,0,0,0.210823067,0,0
19,12,80,19,15,3,11,9,121,3,7,0,0.993251773,0.051293294,0,0,0,0,0.502526821,0,0
20,12,216,20,15,3,11,9,200,3,7,0,0.084307106,0,0,0,0,0,0.157003749,0,0.133531393
21,12,235,20,15,3,11,9,234,3,8,0.080042708,0.496251855,0.223143551,0,0,0,0,0.218002152,0,0
22,13,386,25,15,3,11,9,291,3,8,0,0.309463843,0,0,0,0,0,0.385799928,1.734601055,0
23,13,526,25,15,3,11,9,428,17,8,0.074107972,0.169245306,0,0,0,0.087011377,0,0.372207886,1.536234508,0
24,14,623,25,15,3,12,9,621,79,8,0.068992871,0.347645537,0,0,0,0,0.36772478,0.375498278,0.51335407,0
25,15,882,25,15,3,12,13,904,132,8,0,0.405465108,0,0,0,0,0,0.221372072,0.550920081,0
26,15,1323,25,15,3,12,13,1128,229,8,0,0.407227223,0,0,0,0,0,0.315224797,0.340829542,0.117783036
27,15,1988,25,15,3,12,13,1546,322,9,0,0.333521639,0,0,0,0,0,0.20143484,0.216913002,0
28,15,2775,25,15,3,12,13,1891,400,9,0,0.489629594,0,0,0,0,0.207639365,0.151806013,0.485507816,0
29,15,4528,25,15,3,12,16,2201,650,9,0,0.280478628,0.148420005,0.125163143,0,0,0.117783036,0.100213261,0.31199938,0
30,15,5994,29,17,3,12,18,2433,888,9,0,0.254867224,0.033901552,0.211309094,0,0,0.245122458,0.180744756,0.239229689,0.200670695
31,15,7734,30,21,3,12,23,2915,1128,11,0.064538521,0.227941951,0.236388778,0.805625164,0,0,0.448024723,0.158893153,0.403690485,0
32,16,9714,38,47,3,12,36,3417,1689,11,0.782759339,0.195293809,0.313657559,0.192903666,0,0.15415068,0.105360516,0.133238695,0.186850461,0.087011377
33,35,11809,52,57,3,14,40,3904,2036,12,0,0.198296807,0.126293725,0.666478933,0.510825624,0.194156014,0.242946179,0.086328083,0.206103313,0.15415068
34,35,14399,59,111,5,17,51,4256,2502,14,0,0.178389955,0,0.150282203,0.182321557,0.804372816,0.510825624,0.073150882,0.210757002,0.133531393
35,35,17211,59,129,6,38,85,4579,3089,16,0.414943852,0.172336364,0.112117298,0.196433401,1.540445041,0.405465108,0.302280872,0.221963559,0.222301501,0.223143551
36,53,20448,66,157,28,57,115,5717,3858,20,0,0.173413979,0.241162057,0.221868854,0.03509132,0.562118918,0.348818072,0.178758573,0.183703011,0.182321557
37,53,24320,84,196,29,100,163,6836,4636,24,0.10724553,0.142582617,0.101782694,0.290229845,0.066691374,0.262364264,0.234125968,0.145925017,0.23821491,0.117783036
38,59,28047,93,262,31,130,206,7910,5883,27,0.016807118,0.106760754,0.121360857,0.423120043,0.09237332,0.3142491,0.281595626,0.13529974,0.226029066,0.105360516
39,60,31207,105,400,34,178,273,9056,7375,30,0.09531018,0.103933536,0.228841572,0.536493371,0.257829109,0.174802724,0.161969328,0.126578167,0.218059463,0.09531018
