days,2020/3/4,2020/3/5,2020/3/6,2020/3/7,2020/3/8,2020/3/9,2020/3/10,2020/3/11,2020/3/12,2020/3/13,2020/3/14,2020/3/15,2020/3/16,2020/3/17,2020/3/18,2020/3/19,2020/3/20,2020/3/21,2020/3/22,2020/3/23,2020/3/24,2020/3/25,2020/3/26,2020/3/27,2020/3/28,2020/3/29,2020/3/30,2020/3/31,2020/4/1,2020/4/2,2020/4/3,2020/4/4,2020/4/5,2020/4/6,2020/4/7,2020/4/8,2020/4/9,2020/4/10,2020/4/11,2020/4/12,2020/4/13,2020/4/14,2020/4/15,2020/4/16,2020/4/17,2020/4/18,2020/4/19,2020/4/20,2020/4/21,2020/4/22,2020/4/23,2020/4/24,2020/4/25,2020/4/26,2020/4/27,2020/4/28,2020/4/29,2020/4/30,2020/5/1,2020/5/2,2020/5/3,2020/5/4,2020/5/5,2020/5/6,2020/5/7,2020/5/8,2020/5/9,2020/5/10,2020/5/11,2020/5/12,2020/5/13,2020/5/14,2020/5/15,2020/5/16,2020/5/17,2020/5/18,2020/5/19,2020/5/20,2020/5/21,2020/5/22,2020/5/23,2020/5/24,2020/5/25
USA,0.000 ,0.000 ,0.001 ,0.002 ,0.003 ,0.003 ,0.003 ,0.007 ,0.004 ,0.012 ,0.010 ,0.020 ,0.018 ,0.031 ,0.044 ,0.080 ,0.131 ,0.144 ,0.191 ,0.226 ,0.301 ,0.235 ,0.374 ,0.447 ,0.509 ,0.526 ,0.498 ,0.579 ,0.671 ,0.727 ,0.750 ,0.906 ,0.906 ,0.681 ,0.825 ,0.846 ,0.864 ,0.916 ,0.947 ,0.760 ,0.741 ,0.668 ,0.725 ,0.747 ,0.914 ,0.948 ,0.765 ,0.655 ,0.756 ,1.000 ,0.468 ,0.712 ,0.970 ,0.910 ,0.715 ,0.604 ,0.647 ,0.748 ,0.792 ,0.905 ,0.785 ,0.670 ,0.606 ,0.639 ,0.647 ,0.761 ,0.723 ,0.687 ,0.543 ,0.486 ,0.591 ,0.558 ,0.727 ,0.684 ,0.657 ,0.506 ,0.596 ,0.528 ,0.622 ,0.695 ,0.635 ,0.569 ,0.558 
Brazil,,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.001 ,0.001 ,0.001 ,0.001 ,0.004 ,0.002 ,0.003 ,0.011 ,0.005 ,0.014 ,0.011 ,0.020 ,0.017 ,0.015 ,0.011 ,0.027 ,0.021 ,0.023 ,0.017 ,0.016 ,0.055 ,0.054 ,0.052 ,0.063 ,0.051 ,0.041 ,0.045 ,0.080 ,0.106 ,0.093 ,0.086 ,0.052 ,0.069 ,0.061 ,0.088 ,0.147 ,0.101 ,0.157 ,0.140 ,0.099 ,0.093 ,0.120 ,0.129 ,0.206 ,0.142 ,0.265 ,0.162 ,0.222 ,0.259 ,0.302 ,0.347 ,0.298 ,0.239 ,0.221 ,0.319 ,0.333 ,0.505 ,0.475 ,0.491 ,0.510 ,0.325 ,0.271 ,0.445 ,0.547 ,0.670 ,0.736 ,0.717 ,0.382 ,0.632 ,0.837 ,0.959 ,0.890 ,1.000 ,0.794 ,0.760 
UK,0.000 ,0.004 ,0.003 ,0.006 ,0.005 ,0.009 ,0.006 ,0.007 ,0.012 ,0.019 ,0.032 ,0.053 ,0.036 ,0.026 ,0.064 ,0.107 ,0.102 ,0.114 ,0.165 ,0.106 ,0.154 ,0.229 ,0.233 ,0.342 ,0.470 ,0.404 ,0.391 ,0.421 ,0.484 ,0.697 ,0.684 ,0.717 ,0.695 ,0.859 ,0.612 ,0.585 ,0.885 ,0.700 ,1.401 ,0.844 ,0.853 ,0.853 ,0.693 ,0.742 ,0.744 ,0.903 ,0.891 ,0.943 ,0.754 ,0.693 ,0.717 ,0.927 ,0.680 ,0.792 ,0.719 ,0.694 ,0.644 ,0.657 ,0.973 ,1.000 ,0.775 ,0.699 ,0.642 ,0.710 ,0.985 ,0.905 ,0.749 ,0.628 ,0.632 ,0.625 ,0.548 ,0.522 ,0.555 ,0.573 ,0.556 ,0.506 ,0.500 ,0.388 ,0.128 ,0.206 ,0.747 ,0.258 ,0.387 
Italy,0.002 ,0.026 ,0.059 ,0.049 ,0.144 ,0.149 ,0.220 ,0.108 ,0.283 ,0.405 ,0.299 ,0.499 ,0.514 ,0.456 ,0.504 ,0.615 ,0.798 ,0.906 ,1.000 ,0.837 ,0.710 ,0.786 ,0.779 ,0.934 ,0.902 ,0.905 ,0.781 ,0.589 ,0.590 ,0.709 ,0.691 ,0.677 ,0.713 ,0.633 ,0.516 ,0.424 ,0.554 ,0.615 ,0.573 ,0.695 ,0.596 ,0.443 ,0.413 ,0.363 ,0.546 ,0.498 ,0.498 ,0.425 ,0.296 ,0.373 ,0.478 ,0.359 ,0.421 ,0.312 ,0.307 ,0.211 ,0.269 ,0.268 ,0.233 ,0.248 ,0.237 ,0.154 ,0.126 ,0.102 ,0.163 ,0.156 ,0.143 ,0.104 ,0.057 ,0.048 ,0.156 ,0.072 ,0.089 ,0.055 ,0.069 ,0.037 ,0.000 ,0.059 ,0.035 ,0.031 ,0.033 ,0.036 ,0.013 
Germany,0.000 ,0.015 ,0.016 ,0.009 ,0.014 ,0.009 ,0.022 ,0.037 ,0.003 ,0.078 ,0.067 ,0.071 ,0.199 ,0.135 ,0.205 ,0.269 ,0.331 ,0.449 ,0.223 ,0.179 ,0.477 ,0.508 ,0.185 ,0.651 ,0.852 ,0.677 ,0.470 ,0.441 ,0.488 ,0.613 ,0.676 ,0.632 ,0.489 ,0.399 ,0.322 ,0.661 ,1.000 ,0.490 ,0.390 ,0.325 ,0.237 ,0.048 ,0.206 ,0.268 ,0.066 ,0.751 ,0.230 ,0.199 ,0.130 ,0.136 ,0.217 ,0.245 ,0.139 ,0.194 ,0.123 ,0.097 ,0.113 ,0.160 ,0.145 ,0.105 ,0.087 ,0.068 ,0.047 ,0.083 ,0.113 ,0.125 ,0.114 ,0.072 ,0.054 ,0.068 ,0.058 ,0.091 ,0.036 ,0.074 ,0.050 ,0.060 ,0.017 ,0.120 ,0.068 ,0.053 ,0.067 ,0.026 ,0.032 
France,0.000 ,0.007 ,0.015 ,0.022 ,0.042 ,0.022 ,0.034 ,0.046 ,0.063 ,0.076 ,0.101 ,0.108 ,0.119 ,0.157 ,0.142 ,0.183 ,0.243 ,0.211 ,0.242 ,0.204 ,0.505 ,0.321 ,0.385 ,0.516 ,0.501 ,0.607 ,0.341 ,0.576 ,1.000 ,0.640 ,0.277 ,0.690 ,0.562 ,0.245 ,0.515 ,0.531 ,0.548 ,0.564 ,0.572 ,0.409 ,0.211 ,0.351 ,0.725 ,0.346 ,0.347 ,0.051 ,0.337 ,0.101 ,0.269 ,0.350 ,0.239 ,0.216 ,0.232 ,0.201 ,0.058 ,0.495 ,0.198 ,0.173 ,0.148 ,0.077 ,0.102 ,0.038 ,0.073 ,0.143 ,0.551 ,0.080 ,0.082 ,0.055 ,0.025 ,0.058 ,0.091 ,0.064 ,0.080 ,0.072 ,0.046 ,0.013 ,0.062 ,0.067 ,0.053 ,0.039 ,0.051 ,0.029 ,0.012 
India,0.000 ,0.000 ,0.003 ,0.000 ,0.000 ,0.001 ,0.001 ,0.002 ,0.001 ,0.001 ,0.001 ,0.000 ,0.004 ,0.001 ,0.003 ,0.002 ,0.003 ,0.005 ,0.015 ,0.011 ,0.011 ,0.009 ,0.010 ,0.012 ,0.020 ,0.012 ,0.015 ,0.032 ,0.021 ,0.063 ,0.100 ,0.001 ,0.075 ,0.072 ,0.101 ,0.073 ,0.069 ,0.163 ,0.050 ,0.110 ,0.233 ,0.185 ,0.142 ,0.071 ,0.208 ,0.064 ,0.268 ,0.058 ,0.221 ,0.334 ,0.070 ,0.373 ,0.205 ,0.285 ,0.060 ,0.361 ,0.077 ,0.260 ,0.197 ,0.598 ,0.379 ,0.366 ,0.043 ,0.940 ,0.510 ,0.486 ,0.476 ,0.451 ,0.624 ,0.515 ,0.534 ,0.522 ,0.555 ,0.565 ,0.715 ,0.751 ,0.712 ,0.804 ,0.804 ,0.873 ,0.954 ,0.970 ,1.000 
Canada,0.000 ,0.000 ,0.004 ,0.001 ,0.001 ,0.001 ,0.002 ,0.004 ,0.003 ,0.011 ,0.013 ,0.015 ,0.025 ,0.026 ,0.045 ,0.037 ,0.041 ,0.061 ,0.069 ,0.039 ,0.178 ,0.201 ,0.176 ,0.181 ,0.038 ,0.424 ,0.190 ,0.323 ,0.328 ,0.324 ,0.114 ,0.682 ,0.437 ,0.429 ,0.331 ,0.353 ,0.396 ,0.426 ,0.397 ,0.335 ,0.306 ,0.372 ,0.398 ,0.327 ,0.545 ,0.523 ,0.418 ,0.410 ,0.579 ,0.456 ,0.397 ,1.000 ,0.172 ,0.420 ,0.442 ,0.460 ,0.437 ,0.451 ,0.470 ,0.524 ,0.474 ,0.792 ,0.372 ,0.365 ,0.416 ,0.409 ,0.434 ,0.713 ,0.336 ,0.336 ,0.331 ,0.329 ,0.348 ,0.337 ,0.358 ,0.323 ,0.309 ,0.312 ,0.307 ,0.336 ,0.346 ,0.297 ,0.116 
China,0.831 ,0.972 ,1.000 ,0.690 ,0.303 ,0.275 ,0.127 ,0.162 ,0.099 ,0.134 ,0.070 ,0.134 ,0.106 ,0.141 ,0.085 ,0.232 ,0.268 ,0.282 ,0.317 ,0.268 ,0.542 ,0.324 ,0.465 ,0.380 ,0.373 ,0.310 ,0.211 ,0.331 ,0.246 ,0.239 ,0.577 ,0.507 ,0.577 ,0.324 ,0.458 ,0.599 ,0.641 ,0.387 ,0.521 ,0.711 ,0.803 ,0.690 ,0.338 ,0.359 ,0.415 ,0.211 ,0.141 ,0.246 ,0.085 ,0.254 ,0.099 ,0.056 ,0.085 ,0.092 ,0.014 ,0.035 ,0.148 ,0.021 ,0.077 ,0.014 ,0.028 ,0.042 ,0.021 ,0.007 ,0.014 ,0.035 ,0.000 ,0.092 ,0.134 ,0.000 ,0.042 ,0.035 ,0.028 ,0.056 ,0.035 ,0.063 ,0.035 ,0.028 ,0.007 ,0.085 ,0.007 ,0.014 ,0.070 
Japan,0.004 ,0.023 ,0.019 ,0.041 ,0.033 ,0.022 ,0.013 ,0.052 ,0.050 ,0.045 ,0.023 ,0.057 ,0.018 ,0.000 ,0.018 ,0.052 ,0.027 ,0.047 ,0.028 ,0.037 ,0.028 ,0.073 ,0.097 ,0.094 ,0.140 ,0.232 ,0.194 ,0.124 ,0.246 ,0.331 ,0.329 ,0.454 ,0.431 ,0.438 ,0.287 ,0.475 ,0.578 ,0.736 ,0.715 ,0.958 ,0.610 ,0.346 ,0.596 ,0.628 ,0.759 ,1.000 ,0.410 ,0.450 ,0.420 ,0.522 ,0.501 ,0.536 ,0.526 ,0.452 ,0.246 ,0.197 ,0.338 ,0.264 ,0.215 ,0.317 ,0.368 ,0.236 ,0.200 ,0.132 ,0.110 ,0.103 ,0.090 ,0.124 ,0.068 ,0.036 ,0.178 ,0.047 ,0.106 ,0.042 ,0.051 ,0.013 ,0.017 ,0.013 ,0.028 ,0.087 ,0.010 ,0.011 ,0.032 
