days,Canada,Japan
2020/3/4,0.000 ,0.004 
2020/3/5,0.000 ,0.023 
2020/3/6,0.004 ,0.019 
2020/3/7,0.001 ,0.041 
2020/3/8,0.001 ,0.033 
2020/3/9,0.001 ,0.022 
2020/3/10,0.002 ,0.013 
2020/3/11,0.004 ,0.052 
2020/3/12,0.003 ,0.050 
2020/3/13,0.011 ,0.045 
2020/3/14,0.013 ,0.023 
2020/3/15,0.015 ,0.057 
2020/3/16,0.025 ,0.018 
2020/3/17,0.026 ,0.000 
2020/3/18,0.045 ,0.018 
2020/3/19,0.037 ,0.052 
2020/3/20,0.041 ,0.027 
2020/3/21,0.061 ,0.047 
2020/3/22,0.069 ,0.028 
2020/3/23,0.039 ,0.037 
2020/3/24,0.178 ,0.028 
2020/3/25,0.201 ,0.073 
2020/3/26,0.176 ,0.097 
2020/3/27,0.181 ,0.094 
2020/3/28,0.038 ,0.140 
2020/3/29,0.424 ,0.232 
2020/3/30,0.190 ,0.194 
2020/3/31,0.323 ,0.124 
2020/4/1,0.328 ,0.246 
2020/4/2,0.324 ,0.331 
2020/4/3,0.114 ,0.329 
2020/4/4,0.682 ,0.454 
2020/4/5,0.437 ,0.431 
2020/4/6,0.429 ,0.438 
2020/4/7,0.331 ,0.287 
2020/4/8,0.353 ,0.475 
2020/4/9,0.396 ,0.578 
2020/4/10,0.426 ,0.736 
2020/4/11,0.397 ,0.715 
2020/4/12,0.335 ,0.958 
2020/4/13,0.306 ,0.610 
2020/4/14,0.372 ,0.346 
2020/4/15,0.398 ,0.596 
2020/4/16,0.327 ,0.628 
2020/4/17,0.545 ,0.759 
2020/4/18,0.523 ,1.000 
2020/4/19,0.418 ,0.410 
2020/4/20,0.410 ,0.450 
2020/4/21,0.579 ,0.420 
2020/4/22,0.456 ,0.522 
2020/4/23,0.397 ,0.501 
2020/4/24,1.000 ,0.536 
2020/4/25,0.172 ,0.526 
2020/4/26,0.420 ,0.452 
2020/4/27,0.442 ,0.246 
2020/4/28,0.460 ,0.197 
2020/4/29,0.437 ,0.338 
2020/4/30,0.451 ,0.264 
2020/5/1,0.470 ,0.215 
2020/5/2,0.524 ,0.317 
2020/5/3,0.474 ,0.368 
2020/5/4,0.792 ,0.236 
2020/5/5,0.372 ,0.200 
2020/5/6,0.365 ,0.132 
2020/5/7,0.416 ,0.110 
2020/5/8,0.409 ,0.103 
2020/5/9,0.434 ,0.090 
2020/5/10,0.713 ,0.124 
2020/5/11,0.336 ,0.068 
2020/5/12,0.336 ,0.036 
2020/5/13,0.331 ,0.178 
2020/5/14,0.329 ,0.047 
2020/5/15,0.348 ,0.106 
2020/5/16,0.337 ,0.042 
2020/5/17,0.358 ,0.051 
2020/5/18,0.323 ,0.013 
2020/5/19,0.309 ,0.017 
2020/5/20,0.312 ,0.013 
2020/5/21,0.307 ,0.028 
2020/5/22,0.336 ,0.087 
2020/5/23,0.346 ,0.010 
2020/5/24,0.297 ,0.011 
2020/5/25,0.116 ,0.032 
