days,China
2020/3/4,0.831
2020/3/5,0.972
2020/3/6,1
2020/3/7,0.69
2020/3/8,0.303
2020/3/9,0.275
2020/3/10,0.127
2020/3/11,0.162
2020/3/12,0.099
2020/3/13,0.134
2020/3/14,0.07
2020/3/15,0.134
2020/3/16,0.106
2020/3/17,0.141
2020/3/18,0.085
2020/3/19,0.232
2020/3/20,0.268
2020/3/21,0.282
2020/3/22,0.317
2020/3/23,0.268
2020/3/24,0.542
2020/3/25,0.324
2020/3/26,0.465
2020/3/27,0.38
2020/3/28,0.373
2020/3/29,0.31
2020/3/30,0.211
2020/3/31,0.331
2020/4/1,0.246
2020/4/2,0.239
2020/4/3,0.577
2020/4/4,0.507
2020/4/5,0.577
2020/4/6,0.324
2020/4/7,0.458
2020/4/8,0.599
2020/4/9,0.641
2020/4/10,0.387
2020/4/11,0.521
2020/4/12,0.711
2020/4/13,0.803
2020/4/14,0.69
2020/4/15,0.338
2020/4/16,0.359
2020/4/17,0.415
2020/4/18,0.211
2020/4/19,0.141
2020/4/20,0.246
2020/4/21,0.085
2020/4/22,0.254
2020/4/23,0.099
2020/4/24,0.056
2020/4/25,0.085
2020/4/26,0.092
2020/4/27,0.014
2020/4/28,0.035
2020/4/29,0.148
2020/4/30,0.021
2020/5/1,0.077
2020/5/2,0.014
2020/5/3,0.028
2020/5/4,0.042
2020/5/5,0.021
2020/5/6,0.007
2020/5/7,0.014
2020/5/8,0.035
2020/5/9,0
2020/5/10,0.092
2020/5/11,0.134
2020/5/12,0
2020/5/13,0.042
2020/5/14,0.035
2020/5/15,0.028
2020/5/16,0.056
2020/5/17,0.035
2020/5/18,0.063
2020/5/19,0.035
2020/5/20,0.028
2020/5/21,0.007
2020/5/22,0.085
2020/5/23,0.007
2020/5/24,0.014
2020/5/25,0.07
