days,Italy,Germany,France
2020/3/4,0.002,0,0
2020/3/5,0.026,0.015,0.007
2020/3/6,0.059,0.016,0.015
2020/3/7,0.049,0.009,0.022
2020/3/8,0.144,0.014,0.042
2020/3/9,0.149,0.009,0.022
2020/3/10,0.22,0.022,0.034
2020/3/11,0.108,0.037,0.046
2020/3/12,0.283,0.003,0.063
2020/3/13,0.405,0.078,0.076
2020/3/14,0.299,0.067,0.101
2020/3/15,0.499,0.071,0.108
2020/3/16,0.514,0.199,0.119
2020/3/17,0.456,0.135,0.157
2020/3/18,0.504,0.205,0.142
2020/3/19,0.615,0.269,0.183
2020/3/20,0.798,0.331,0.243
2020/3/21,0.906,0.449,0.211
2020/3/22,1,0.223,0.242
2020/3/23,0.837,0.179,0.204
2020/3/24,0.71,0.477,0.505
2020/3/25,0.786,0.508,0.321
2020/3/26,0.779,0.185,0.385
2020/3/27,0.934,0.651,0.516
2020/3/28,0.902,0.852,0.501
2020/3/29,0.905,0.677,0.607
2020/3/30,0.781,0.47,0.341
2020/3/31,0.589,0.441,0.576
2020/4/1,0.59,0.488,1
2020/4/2,0.709,0.613,0.64
2020/4/3,0.691,0.676,0.277
2020/4/4,0.677,0.632,0.69
2020/4/5,0.713,0.489,0.562
2020/4/6,0.633,0.399,0.245
2020/4/7,0.516,0.322,0.515
2020/4/8,0.424,0.661,0.531
2020/4/9,0.554,1,0.548
2020/4/10,0.615,0.49,0.564
2020/4/11,0.573,0.39,0.572
2020/4/12,0.695,0.325,0.409
2020/4/13,0.596,0.237,0.211
2020/4/14,0.443,0.048,0.351
2020/4/15,0.413,0.206,0.725
2020/4/16,0.363,0.268,0.346
2020/4/17,0.546,0.066,0.347
2020/4/18,0.498,0.751,0.051
2020/4/19,0.498,0.23,0.337
2020/4/20,0.425,0.199,0.101
2020/4/21,0.296,0.13,0.269
2020/4/22,0.373,0.136,0.35
2020/4/23,0.478,0.217,0.239
2020/4/24,0.359,0.245,0.216
2020/4/25,0.421,0.139,0.232
2020/4/26,0.312,0.194,0.201
2020/4/27,0.307,0.123,0.058
2020/4/28,0.211,0.097,0.495
2020/4/29,0.269,0.113,0.198
2020/4/30,0.268,0.16,0.173
2020/5/1,0.233,0.145,0.148
2020/5/2,0.248,0.105,0.077
2020/5/3,0.237,0.087,0.102
2020/5/4,0.154,0.068,0.038
2020/5/5,0.126,0.047,0.073
2020/5/6,0.102,0.083,0.143
2020/5/7,0.163,0.113,0.551
2020/5/8,0.156,0.125,0.08
2020/5/9,0.143,0.114,0.082
2020/5/10,0.104,0.072,0.055
2020/5/11,0.057,0.054,0.025
2020/5/12,0.048,0.068,0.058
2020/5/13,0.156,0.058,0.091
2020/5/14,0.072,0.091,0.064
2020/5/15,0.089,0.036,0.08
2020/5/16,0.055,0.074,0.072
2020/5/17,0.069,0.05,0.046
2020/5/18,0.037,0.06,0.013
2020/5/19,0,0.017,0.062
2020/5/20,0.059,0.12,0.067
2020/5/21,0.035,0.068,0.053
2020/5/22,0.031,0.053,0.039
2020/5/23,0.033,0.067,0.051
2020/5/24,0.036,0.026,0.029
2020/5/25,0.013,0.032,0.012
