days,Brazil,India
2020/3/4,,0
2020/3/5,0,0
2020/3/6,0,0.003
2020/3/7,0,0
2020/3/8,0,0
2020/3/9,0,0.001
2020/3/10,0,0.001
2020/3/11,0,0.002
2020/3/12,0.001,0.001
2020/3/13,0.001,0.001
2020/3/14,0.001,0.001
2020/3/15,0.001,0
2020/3/16,0.004,0.004
2020/3/17,0.002,0.001
2020/3/18,0.003,0.003
2020/3/19,0.011,0.002
2020/3/20,0.005,0.003
2020/3/21,0.014,0.005
2020/3/22,0.011,0.015
2020/3/23,0.02,0.011
2020/3/24,0.017,0.011
2020/3/25,0.015,0.009
2020/3/26,0.011,0.01
2020/3/27,0.027,0.012
2020/3/28,0.021,0.02
2020/3/29,0.023,0.012
2020/3/30,0.017,0.015
2020/3/31,0.016,0.032
2020/4/1,0.055,0.021
2020/4/2,0.054,0.063
2020/4/3,0.052,0.1
2020/4/4,0.063,0.001
2020/4/5,0.051,0.075
2020/4/6,0.041,0.072
2020/4/7,0.045,0.101
2020/4/8,0.08,0.073
2020/4/9,0.106,0.069
2020/4/10,0.093,0.163
2020/4/11,0.086,0.05
2020/4/12,0.052,0.11
2020/4/13,0.069,0.233
2020/4/14,0.061,0.185
2020/4/15,0.088,0.142
2020/4/16,0.147,0.071
2020/4/17,0.101,0.208
2020/4/18,0.157,0.064
2020/4/19,0.14,0.268
2020/4/20,0.099,0.058
2020/4/21,0.093,0.221
2020/4/22,0.12,0.334
2020/4/23,0.129,0.07
2020/4/24,0.206,0.373
2020/4/25,0.142,0.205
2020/4/26,0.265,0.285
2020/4/27,0.162,0.06
2020/4/28,0.222,0.361
2020/4/29,0.259,0.077
2020/4/30,0.302,0.26
2020/5/1,0.347,0.197
2020/5/2,0.298,0.598
2020/5/3,0.239,0.379
2020/5/4,0.221,0.366
2020/5/5,0.319,0.043
2020/5/6,0.333,0.94
2020/5/7,0.505,0.51
2020/5/8,0.475,0.486
2020/5/9,0.491,0.476
2020/5/10,0.51,0.451
2020/5/11,0.325,0.624
2020/5/12,0.271,0.515
2020/5/13,0.445,0.534
2020/5/14,0.547,0.522
2020/5/15,0.67,0.555
2020/5/16,0.736,0.565
2020/5/17,0.717,0.715
2020/5/18,0.382,0.751
2020/5/19,0.632,0.712
2020/5/20,0.837,0.804
2020/5/21,0.959,0.804
2020/5/22,0.89,0.873
2020/5/23,1,0.954
2020/5/24,0.794,0.97
2020/5/25,0.76,1
