国家,4月28日,4月29日,4月30日,5月1日,5月2日,5月3日,5月4日,5月5日,5月6日,5月7日,5月8日,5月9日,5月10日
美国,59,65,134,82,125,113,121,112,163,102,145,146,138
中国,22,4,12,3,3,9,4,2,3,6,1,14,20
日本,-417,159,193,217,266,306,201,175,0,224,98,88,114
德国,1154,1627,1470,1068,890,697,488,855,1155,1268,1158,736,555
印度,1873,1738,1801,2394,2442,2806,3932,2963,3587,3364,3344,3113,4353
英国,4002,4091,6040,6204,4815,4342,3990,4411,6116,5618,4652,3896,3924
法国,3090,-2510,756,6,1213,407,658,1104,3537,694,1284,580,312
意大利,2091,2086,1872,1965,1900,1389,1221,1075,1444,1401,1327,1083,802
巴西,5789,6450,7502,5015,4898,4726,6794,6835,11156,9162,11121,9167,6638
加拿大,1534,1715,1592,1886,1583,2578,1453,1258,1479,1507,1473,1244,1173
南韩,9,4,9,6,13,8,3,2,4,12,18,34,35
俄国,6411,5841,7099,7933,9623,10633,10581,10102,10559,11231,10699,10817,11012
西班牙,1308,2144,518,0,3147,884,545,1318,996,1122,1410,721,772
澳大利亚,23,8,14,12,21,23,25,28,19,19,5,21,9
墨西哥,1223,1047,1425,1515,1349,1383,1434,1120,1609,1982,1906,1938,1562
印度尼西亚,415,260,347,433,292,349,395,484,367,338,336,533,387
荷兰,172,386,514,477,445,335,199,318,232,455,319,289,245
沙特阿拉伯,1266,1325,1351,1344,1362,1552,1645,1595,1687,1793,1701,1704,1912
瑞士,100,143,179,119,112,88,76,28,51,66,81,44,54
土耳其,2392,2936,2615,2188,1983,1670,1614,1832,2253,1977,1848,1546,1542
