days,US,CN,JP,DE,IN,FR,UK,BR,IT,CA
0,103,216,105,111,125,100,115,121,132,103
1,125,235,132,129,137,130,163,200,229,138
2,159,386,144,157,165,178,206,234,322,176
3,233,526,144,196,191,212,273,291,400,244
4,338,623,164,262,231,285,321,428,650,304
5,433,882,186,400,320,423,373,621,888,424
6,554,1323,210,684,439,613,456,904,1128,569
7,754,1988,230,847,492,716,590,1128,1689,690
8,1025,2775,239,902,562,1126,707,1546,2036,846
9,1312,4528,254,1139,649,1412,1140,1891,2502,971
10,1663,5994,254,1296,724,1784,1391,2201,3089,1302
11,2174,7734,268,1567,873,2281,1543,2433,3858,1430
12,2951,9714,317,2369,979,2876,1950,2915,4636,1646
13,3774,11809,349,3062,1071,3661,2630,3417,5883,1959
14,4661,14399,408,3795,1251,4499,3277,3904,7375,3385
15,6427,17211,455,4838,1397,5423,3983,4256,9172,4018
16,9415,20448,488,6012,1965,6633,5018,4579,10149,4675
17,14250,24320,514,7156,2301,7730,5683,5717,12462,5386
18,19624,28047,568,8198,2902,9134,6650,6836,15113,6255
19,26747,31207,619,14138,3374,10995,8077,7910,17660,7424
20,35206,34625,675,18187,4067,12612,9529,9056,21157,8536
21,46442,37232,737,21463,4421,14459,11658,10278,23980,9595
22,55231,40206,780,24774,5194,16018,14543,11130,27980,11268
23,69194,42696,814,29212,5734,19856,17089,12056,31506,12519
24,85991,44724,824,31554,6412,22302,19522,13717,35713,13882
25,104686,59865,829,36508,7447,25233,22141,15927,41035,15496
26,124665,64021,873,42288,8356,29155,25150,17857,47021,16653
27,143025,66559,950,48582,9152,32964,29474,19638,53578,17883
28,164620,68566,1007,52547,10363,37575,33718,20727,59138,19274
29,189618,70618,1046,57298,11438,40174,38168,22169,63927,20748
30,216721,72508,1089,61913,12380,44550,41903,23430,69176,22133
31,245540,74258,1128,67366,13387,52128,47806,25262,74386,23301
32,277965,74652,1193,73522,14378,56989,51608,28320,80539,24365
33,312237,75543,1268,79696,15712,59105,55242,30425,86498,25663
34,337635,76369,1364,85778,17265,64338,60733,33682,92472,27046
35,368196,77016,1499,91714,18600,68605,65077,36599,97689,28364
36,398809,77234,1693,95391,19984,70478,70272,38654,101739,30081
37,432132,77749,1866,99225,21393,74390,78991,40581,105792,31872
38,466033,78159,1953,103228,23077,78167,84279,43079,110574,33341
39,501560,78598,1953,108202,24506,82048,88621,45757,115242,34777
40,529951,78927,2178,113525,26496,86334,93873,49492,119827,36823
41,557571,79355,2617,117658,27892,90676,98476,52995,124632,38413
42,582594,79929,2935,120479,29435,93790,103093,58509,128948,40179
43,609516,80134,3271,123016,31332,95403,108692,61888,132547,42099
44,639664,80261,3654,125098,33050,98076,114217,66501,135586,43877
45,671331,80380,3817,127584,35043,103573,120067,71886,139422,45341
46,702164,80497,3906,130450,37336,106206,124743,78162,143626,46884
47,735086,80667,4257,133830,39980,108847,129044,85380,147577,48489
48,759687,80768,4667,137439,42533,109252,133495,91589,152271,50015
49,787752,80814,5347,139897,46433,111821,138078,96559,156363,51587
50,825041,80859,6748,141672,49391,112606,143464,101147,159516,53236
51,842629,80879,7255,143457,52952,114657,148377,107780,162488,55061
52,869172,80908,7645,145694,56342,117324,152840,114715,165155,56714
53,890524,80932,8100,148046,,119151,157149,125218,168941,59474
54,939053,80954,8582,150383,,120804,161145,135106,172434,60772
55,965910,80973,9167,152438,,122577,165221,,175925,62046
56,988451,80995,9795,154175,,124114,171253,,178972,63496
57,1012583,81020,10361,155193,,124575,177454,,181228,64922
58,1039909,81063,10751,156337,,125770,182260,,183957,
59,1069826,81086,11118,157641,,126835,186599,,187327,
60,1103781,81130,11496,159119,,128442,190584,,189973,
61,1133069,81229,11772,159119,,129581,194990,,192994,
62,1158041,81281,12240,161703,,130185,201201,,195351,
63,1180634,81346,12892,162496,,130979,206715,,197675,
64,1204475,81484,13182,163175,,131287,,,199414,
65,1228603,81553,13385,163860,,131863,,,201505,
66,1256972,81631,13576,164897,,132967,,,203591,
67,,81733,13852,166091,,137150,,,205463,
68,,81827,14088,167300,,137779,,,207428,
69,,81946,14281,,,,,,209328,
70,,82059,14544,,,,,,210717,
71,,82157,14839,,,,,,211938,
72,,82241,15057,,,,,,213013,
73,,82295,15231,,,,,,214457,
74,,82395,15354,,,,,,215858,
75,,82465,15463,,,,,,,
76,,82527,15547,,,,,,,
77,,82575,,,,,,,,
78,,82642,,,,,,,,
79,,82698,,,,,,,,
80,,82784,,,,,,,,
81,,82870,,,,,,,,
82,,82925,,,,,,,,
83,,83004,,,,,,,,
84,,83097,,,,,,,,
85,,83209,,,,,,,,
86,,83303,,,,,,,,
87,,83352,,,,,,,,
88,,83402,,,,,,,,
89,,83754,,,,,,,,
90,,83785,,,,,,,,
91,,83803,,,,,,,,
92,,83817,,,,,,,,
93,,83849,,,,,,,,
94,,83864,,,,,,,,
95,,83876,,,,,,,,
96,,83884,,,,,,,,
97,,83899,,,,,,,,
98,,83909,,,,,,,,
99,,83912,,,,,,,,
100,,83938,,,,,,,,
101,,83940,,,,,,,,
102,,83944,,,,,,,,
103,,83956,,,,,,,,
104,,83959,,,,,,,,
105,,83961,,,,,,,,
106,,83964,,,,,,,,
107,,83966,,,,,,,,
108,,83968,,,,,,,,
109,,83970,,,,,,,,
110,,83976,,,,,,,,
