,United States,China,Japan
0,103,216,105
1,125,235,132
2,159,386,144
3,233,526,144
4,338,623,164
5,433,882,186
6,554,1323,210
7,754,1988,230
8,1025,2775,239
9,1312,4528,254
10,1663,5994,254
11,2174,7734,268
12,2951,9714,317
13,3774,11809,349
14,4661,14399,408
15,6427,17211,455
16,9415,20448,488
17,14250,24320,514
18,19624,28047,568
19,26747,31207,619
20,35206,34625,675
21,46442,37232,737
22,55231,40206,780
23,69194,42696,814
24,85991,44724,824
25,104686,59865,829
26,124665,64021,873
27,143025,66559,950
28,164620,68566,1007
29,189618,70618,1046
30,216721,72508,1089
31,245540,74258,1128
32,277965,74652,1193
33,312237,75543,1268
34,337635,76369,1364
35,368196,77016,1499
36,398809,77234,1693
37,432132,77749,1866
38,466033,78159,1953
39,501560,78598,1953
40,529951,78927,2178
41,557571,79355,2617
42,582594,79929,2935
43,609516,80134,3271
44,639664,80261,3654
45,671331,80380,3817
46,702164,80497,3906
47,735086,80667,4257
48,759687,80768,4667
49,787752,80814,5347
50,825041,80859,6748
51,842629,80879,7255
52,869172,80908,7645
53,890524,80932,8100
54,939053,80954,8582
55,965910,80973,9167
56,988451,80995,9795
57,1012583,81020,10361
58,1039909,81063,10751
59,1069826,81086,11118
60,1103781,81130,11496
61,1133069,81229,11772
62,1158041,81281,12240
63,1180634,81346,12892
64,1204475,81484,13182
65,1228603,81553,13385
66,1256972,81631,13576
67,,81733,13852
68,,81827,14088
69,,81946,14281
70,,82059,14544
71,,82157,14839
72,,82241,15057
73,,82295,15231
74,,82395,15354
75,,82465,15463
76,,82527,15547
77,,82575,
78,,82642,
79,,82698,
,,82784,
,,82870,
,,82925,
,,83004,
,,83097,
,,83209,
,,83303,
,,83352,
,,83402,
,,83754,
,,83785,
,,83803,
,,83817,
,,83849,
,,83864,
,,83876,
,,83884,
,,83899,
,,83909,
,,83912,
,,83938,
,,83940,
,,83944,
,,83956,
,,83959,
,,83961,
,,83964,
,,83966,
,,83968,
,,83970,
,,83976,
