截至日期和时间,2020年3月3日起超两千例确诊国家疫情发展态势      (人民日报新媒体发布，带颜色数字为累计确诊、历史最大确诊日增、累计死亡、历史最大死亡日增数字前10名）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,截至日期和时间,,,,
,,0,,,,1,,,,2,,,,3,,,,4,,,,5,,,,6,,,,7,,,,8,,,,9,,,,10,,,,11,,,,12,,,,13,,,,14,,,,15,,,,16,,,,17,,,,18,,,,19,,,,20,,,,21,,,,22,,,,23,,,,24,,,,25,,,,26,,,,27,,,,28,,,,29,,,,30,,,,31,,,,32,,,,33,,,,34,,,,35,,,,36,,,,37,,,,38,,,,39,,,,40,,,,41,,,,42,,,,43,,,,44,,,,45,,,,46,,,,47,,,,48,,,,49,,,,50,,,,51,,,,52,,,,53,,,,54,,,,55,,,,56,,,,57,,,,58,,,,59,,,,60,,,,61,,,,62,,,,63,,,,64,,,,65,,,,66,,,,67,,,,68,,,,69,,,,70,,,,71,,,,72,,,,73,,,,74,,,,75,,,,76,,,,77,,,,78,,,,79,,,,80,,,,81,,,,82,,,,83,,,,84,,,,,,,,
,,全球,,,,美国,,,,俄罗斯,,,,巴西,,,,英国,,,,西班牙,,,,意大利,,,,德国,,,,土耳其,,,,法国,,,,伊朗,,,,印度,,,,秘鲁,,,,中国,,,,加拿大,,,,沙特阿拉伯,,,,比利时,,,,墨西哥,,,,智利,,,,荷兰,,,,巴基斯坦,,,,卡塔尔,,,,厄瓜多尔,,,,白俄罗斯,,,,瑞士,,,,瑞典,,,,葡萄牙,,,,新加坡,,,,爱尔兰,,,,阿联酋,,,,孟加拉国,,,,波兰,,,,乌克兰,,,,印度尼西亚,,,,罗马尼亚,,,,以色列,,,,南非,,,,日本,,,,哥伦比亚,,,,奥地利,,,,科威特,,,,埃及,,,,多米尼加,,,,菲律宾,,,,韩国,,,,丹麦,,,,塞尔维亚,,,,巴拿马,,,,捷克,,,,阿根廷,,,,挪威,,,,阿尔及利亚,,,,巴林,,,,阿富汗,,,,澳大利亚,,,,摩洛哥,,,,马来西亚,,,,哈萨克斯坦,,,,芬兰,,,,尼日利亚,,,,摩尔多瓦,,,,加纳,,,,阿曼,,,,亚美尼亚,,,,玻利维亚,,,,卢森堡,,,,伊拉克,,,,匈牙利,,,,喀麦隆,,,,阿塞拜疆,,,,泰国,,,,希腊,,,,洪都拉斯,,,,几内亚,,,,乌兹别克斯坦,,,,波多黎各,,,,苏丹,,,,塞内加尔,,,,波黑,,,,保加利亚,,,,克罗地亚,,,,科特迪瓦,,,,危地马拉,,,,古巴,,,,冰岛,,,,,,,,
,国家总数,累计确诊,本日新增,累计死亡,死亡日增,累计确诊,确诊日增,累计死亡,死亡日增,累计确诊,确诊日增,累计死亡,死亡日增,累计确诊,确诊日增,累计死亡,死亡日增,累计确诊,确诊日增,累计死亡,死亡日增,累计确诊,确诊日增,累计死亡,死亡日增,累计确诊,确诊日增,累计死亡,死亡日增,累计确诊,确诊日增,累计死亡,死亡日增,累计确诊,确诊日增,累计死亡,死亡日增,累计确诊,确诊日增,累计死亡,死亡日增,累计确诊,确诊日增,累计死亡,死亡日增,累计确诊,确诊日增,累计死亡,死亡日增,累计确诊,确诊日增,累计死亡,死亡日增,累计确诊,确诊日增,累计死亡,死亡日增,累计确诊,确诊日增,累计死亡,死亡日增,累计确诊,确诊日增,累计死亡,死亡日增,累计确诊,确诊日增,累计死亡,死亡日增,累计确诊,确诊日增,累计死亡,死亡日增,累计确诊,确诊日增,累计死亡,死亡日增,累计确诊,确诊日增,累计死亡,死亡日增,累计确诊,确诊日增,累计死亡,死亡日增,累计确诊,确诊日增,累计死亡,死亡日增,累计确诊,确诊日增,累计死亡,死亡日增,累计确诊,确诊日增,累计死亡,死亡日增,累计确诊,确诊日增,累计死亡,死亡日增,累计确诊,确诊日增,累计死亡,死亡日增,累计确诊,确诊日增,累计死亡,死亡日增,累计确诊,确诊日增,累计死亡,死亡日增,累计确诊,确诊日增,累计死亡,死亡日增,累计确诊,确诊日增,累计死亡,死亡日增,累计确诊,确诊日增,累计死亡,死亡日增,累计确诊,确诊日增,累计死亡,死亡日增,累计确诊,确诊日增,累计死亡,死亡日增,累计确诊,确诊日增,累计死亡,死亡日增,累计确诊,确诊日增,累计死亡,死亡日增,累计确诊,确诊日增,累计死亡,死亡日增,累计确诊,确诊日增,累计死亡,死亡日增,累计确诊,确诊日增,累计死亡,死亡日增,累计确诊,确诊日增,累计死亡,死亡日增,累计确诊,确诊日增,累计死亡,死亡日增,累计确诊,确诊日增,累计死亡,死亡日增,累计确诊,确诊日增,累计死亡,死亡日增,累计确诊,确诊日增,累计死亡,死亡日增,累计确诊,确诊日增,累计死亡,死亡日增,累计确诊,确诊日增,累计死亡,死亡日增,累计确诊,确诊日增,累计死亡,死亡日增,累计确诊,确诊日增,累计死亡,死亡日增,累计确诊,确诊日增,累计死亡,死亡日增,累计确诊,确诊日增,累计死亡,死亡日增,累计确诊,确诊日增,累计死亡,死亡日增,累计确诊,确诊日增,累计死亡,死亡日增,累计确诊,确诊日增,累计死亡,死亡日增,累计确诊,确诊日增,累计死亡,死亡日增,累计确诊,确诊日增,累计死亡,死亡日增,累计确诊,确诊日增,累计死亡,死亡日增,累计确诊,确诊日增,累计死亡,死亡日增,累计确诊,确诊日增,累计死亡,死亡日增,累计确诊,确诊日增,累计死亡,死亡日增,累计确诊,确诊日增,累计死亡,死亡日增,累计确诊,确诊日增,累计死亡,死亡日增,累计确诊,确诊日增,累计死亡,死亡日增,累计确诊,确诊日增,累计死亡,死亡日增,累计确诊,确诊日增,累计死亡,死亡日增,累计确诊,确诊日增,累计死亡,死亡日增,累计确诊,确诊日增,累计死亡,死亡日增,累计确诊,确诊日增,累计死亡,死亡日增,累计确诊,确诊日增,累计死亡,死亡日增,累计确诊,确诊日增,累计死亡,死亡日增,累计确诊,确诊日增,累计死亡,死亡日增,累计确诊,确诊日增,累计死亡,死亡日增,累计确诊,确诊日增,累计死亡,死亡日增,累计确诊,确诊日增,累计死亡,死亡日增,累计确诊,确诊日增,累计死亡,死亡日增,累计确诊,确诊日增,累计死亡,死亡日增,累计确诊,确诊日增,累计死亡,死亡日增,累计确诊,确诊日增,累计死亡,死亡日增,累计确诊,确诊日增,累计死亡,死亡日增,累计确诊,确诊日增,累计死亡,死亡日增,累计确诊,确诊日增,累计死亡,死亡日增,累计确诊,确诊日增,累计死亡,死亡日增,累计确诊,确诊日增,累计死亡,死亡日增,累计确诊,确诊日增,累计死亡,死亡日增,累计确诊,确诊日增,累计死亡,死亡日增,累计确诊,确诊日增,累计死亡,死亡日增,累计确诊,确诊日增,累计死亡,死亡日增,,,,,
最大值,215,4779566,148430,318470,11245,1508957,37282,90369,4922,299941,22668,2837,185,254220,15305,16792,881,246406,8681,34796,4419,232128,16060,27709,1814,225886,6557,32007,969,176551,10068,8003,488,150593,5138,4171,127,142903,7578,28239,2004,122492,6002,7057,309,101139,6555,3163,305,94933,4298,2789,141,84500,1213,4645,38,79411,3482,5960,275,57345,2840,320,12,55559,3035,9080,823,51633,2437,5332,353,46059,2660,478,29,44141,1335,5694,234,42125,3747,903,64,33969,1733,15,3,33582,11536,2799,410,30572,1661,171,7,30514,1685,1602,158,30377,821,3698,185,29209,1516,1231,45,28794,2053,22,2,24200,1874,1547,220,24190,832,224,13,23870,1602,349,21,18885,595,936,38,18616,853,535,24,18010,1058,1191,87,17036,523,1107,40,16643,765,276,15,16433,1160,286,22,16367,802,768,36,16295,723,592,26,16269,1001,629,46,15691,1065,118,11,12764,535,645,22,12725,506,434,38,12718,538,831,50,11078,827,263,11,10968,466,548,22,10699,451,231,9,9726,442,279,14,8527,354,298,18,8371,345,382,24,8257,406,233,16,7201,199,555,51,7156,371,12,2,7072,414,173,17,7062,608,99,7,6952,281,192,13,6941,329,113,8,6751,594,35,3,6380,267,300,43,6175,386,191,17,6138,271,217,11,5735,921,29,5,5379,404,25,3,4823,351,61,5,4263,511,174,22,3947,234,107,8,3554,150,127,7,3535,210,462,17,3529,424,140,44,3387,158,40,3,3033,310,56,5,2836,169,165,9,2798,224,146,12,2796,185,16,3,2791,167,13,2,2646,182,123,52,2591,325,105,10,2544,177,26,3,2304,94,133,11,2235,91,110,6,2228,126,95,8,2119,127,28,3,2001,301,38,5,1872,106,79,6,1802,99,10,2,,,,,
2020/3/3 12:00,72,10614,,164,,100,,6,,5,,0,,2,,0,,40,,0,,128,,0,,2036,323,52,,180,,0,,0,,0,,191,,1,,1501,,66,,3,,0,,0,,0,,80151,125,2943,,24,,0,,1,,0,,8,,0,,5,,0,,0,,0,,18,,0,,4,,0,,3,,0,,1,,0,,3,,0,,40,,0,,14,,0,,2,,0,,106,,0,,1,,0,,21,,0,,0,,0,,0,,0,,0,,0,,2,,0,,3,,0,,12,,0,,0,,0,,284,,12,,0,,0,,18,,0,,56,,0,,2,,0,,1,,0,,3,,1,,4812,477,22,,5,,0,,0,,0,,,,0,,0,,0,,0,,0,,25,,0,,1,,0,,47,,0,,1,,0,,32 ,,1 ,,1,,0,,29,,0,,0,,0,,7,,0,,1,,0,,0,,0,,0,,0,,6,,0,,1,,0,,0,,0,,1,,0,,19,,0,,0,,0,,0,,0,,3,,0,,42,,1,,7,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,0,,0,,0,,0,,0,,8,,0,,0,,0,,0,,0,,0,,0,,6,,0,,2020/3/3 12:00,,,,
2020/3/4 12:00,74,12621,2007,218,54,122,22,9,3,5,0,0,0,2,0,0,0,51,11,0,0,165,37,1,1,2502,466,79,27,196,16,0,0,0,0,0,0,212,21,4,3,2336,835,77,11,5,2,0,0,0,0,0,0,80270,119,2981,38,27,3,0,0,1,0,0,0,13,5,0,0,5,0,0,0,1,1,0,0,18,0,0,0,5,1,0,0,7,4,0,0,6,5,0,0,3,0,0,0,40,0,0,0,15,1,0,0,2,0,0,0,110,4,0,0,1,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,3,0,0,0,12,0,0,0,0,,0,0,304,20,12,0,0,,0,0,18,0,0,0,56,0,0,0,2,0,0,0,1,0,0,0,3,0,1,0,5328,516,33,11,5,0,0,0,0,,0,0,,,0,0,3,3,0,0,0,,0,0,25,0,0,0,5,4,0,0,49,2,0,0,1,0,0,0,33 ,1 ,1 ,0 ,1,0,0,0,29,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,26,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,43,1,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,2020/3/4 12:00,,,,
2020/3/5 12:00,78,14942,2321,268,50,158,36,11,2,5,0,0,0,3,1,0,0,87,36,0,0,223,59,2,1,3144,612,107,28,361,165,0,0,0,0,0,0,285,73,4,0,2922,586,92,15,6,1,0,0,0,0,0,0,80409,139,3012,31,30,3,0,0,1,0,0,0,23,10,0,0,5,0,0,0,2,1,0,0,38,20,0,0,5,0,0,0,8,1,0,0,10,4,0,0,6,3,0,0,80,40,0,0,52,37,0,0,6,4,0,0,112,2,0,0,6,5,0,0,27,6,0,0,0,0,0,0,1,1,0,0,1,0,0,0,2,0,0,0,6,3,0,0,15,3,0,0,0,,0,0,339,35,12,0,0,,0,0,29,11,0,0,56,0,0,0,2,0,0,0,1,0,0,0,3,0,1,0,5766,438,36,3,5,0,0,0,0,,0,0,,,0,0,8,5,0,0,1,1,0,0,57,32,0,0,5,0,0,0,49,0,0,0,1,0,0,0,43 ,10 ,2 ,1 ,1,0,0,0,50,21,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,31,5,0,0,2,2,0,0,0,0,0,0,3,0,0,0,43,0,1,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,11,0,0,2020/3/5 12:00,,,,
2020/3/6 16:00,86,18070,3128,341,73,232,74,14,3,5,0,0,0,8,5,0,0,116,29,2,2,282,59,3,1,3927,813,148,41,534,173,0,0,0,0,0,0,423,138,7,3,3513,591,107,15,30,24,0,0,0,0,0,0,80552,143,3042,30,47,17,0,0,5,4,0,0,50,27,0,0,5,0,0,0,4,2,0,0,128,90,1,1,6,1,0,0,8,0,0,0,13,3,0,0,6,0,0,0,116,36,1,1,94,42,0,0,9,3,0,0,117,5,0,0,13,7,0,0,29,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,6,0,0,0,17,2,0,0,1,1,0,0,371,32,12,0,0,,0,0,42,13,0,0,58,2,0,0,2,0,0,0,1,0,0,0,3,0,1,0,6593,827,43,7,8,3,0,0,0,,0,0,0,,0,0,12,4,0,0,1,0,0,0,90,33,0,0,12,7,0,0,49,0,0,0,1,0,0,0,66 ,23 ,2 ,0 ,2,1,0,0,55,5,0,0,0,0,0,0,12,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,38,7,0,0,4,2,0,0,0,0,0,0,3,0,0,0,47,4,1,0,31,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,2,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,15,0,0,2020/3/6 16:00,,,,
2020/3/7 12:00,94,21302,3232,418,77,324,92,14,0,10,5,0,0,13,5,0,0,163,47,2,0,387,105,5,2,4680,753,197,49,639,105,0,0,0,0,0,0,613,190,9,2,4747,1234,124,17,31,1,0,0,1,1,0,0,80651,99,3070,28,53,6,0,0,8,3,0,0,109,59,0,0,6,1,0,0,4,0,0,0,188,60,1,0,6,0,0,0,11,3,0,0,13,0,0,0,6,0,0,0,210,94,1,0,137,43,0,0,9,0,0,0,130,13,0,0,18,5,0,0,45,16,0,0,0,0,0,0,5,4,0,0,1,0,0,0,4,2,0,0,7,1,0,0,21,4,0,0,1,0,0,0,420,49,12,0,1,1,0,0,55,13,0,0,58,0,0,0,3,1,0,0,1,0,0,0,5,2,1,0,6767,174,44,1,20,12,0,0,1,1,0,0,0,,0,0,18,6,0,0,8,7,0,0,113,23,0,0,17,5,0,0,56,7,0,0,1,0,0,0,64(74),-2(8),2 ,0 ,2,0,0,0,83,28,0,0,0,0,0,0,15,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,1,0,0,0,0,0,0,0,3,2,0,0,46,8,4,4,4,0,0,0,2,2,0,0,3,0,0,0,48,1,1,0,46,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,10,0,0,2020/3/7 12:00,,,,
2020/3/8 12:00,98,24677,3375,502,84,445,121,19,5,14,4,0,0,19,6,0,0,206,43,1,-1,516,129,10,5,6012,1332,233,36,795,156,0,0,0,0,0,0,949,336,16,7,5823,1076,145,21,34,3,0,0,6,5,0,0,80695,44,3097,27,60,7,0,0,8,0,0,0,169,60,0,0,7,1,0,0,7,3,0,0,188,0,0,-1,6,0,0,0,11,0,0,0,14,1,0,0,6,0,0,0,228,18,1,0,161,24,0,0,15,6,0,0,138,8,0,0,19,1,0,0,45,0,0,0,0,0,0,0,6,1,0,0,1,0,0,0,4,0,0,0,13,6,0,0,25,4,0,0,2,1,0,0,463,43,7？,-5？,1,0,0,0,79,24,0,0,58,0,0,0,48,45,0,0,1,0,0,0,6,1,1,0,7134,367,50,6,23,3,0,0,1,0,0,0,0,,0,0,21,3,0,0,9,1,1,1,147,34,0,0,19,2,0,0,77,21,0,0,4,3,0,0,76 ,12(2),3 ,1 ,2,0,0,0,93,10,0,0,0,0,0,0,19,4,0,0,1,0,0,0,1,1,0,0,0,0,0,0,16,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,54,8,4,0,5,1,0,0,2,0,0,0,9,6,0,0,50,2,1,0,66,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,1,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,5,0,0,2020/3/8 12:00,,,,
2020/3/9 12:00,104,28165,3488,706,204,572,127,21,2,17,3,0,0,25,6,0,0,273,67,3,2,613,97,17,7,7375,1363,366,133,902,107,0,0,0,0,0,0,1136,187,19,3,6566,743,194,49,40,6,0,0,7,1,0,0,80735,40,3119,22,66,6,0,0,15,7,0,0,200,31,0,0,7,0,0,0,8,1,0,0,265,77,3,3,7,1,0,0,15,4,0,0,14,0,0,0,6,0,0,0,337,109,2,1,203,42,0,0,21,6,0,0,150,12,0,0,21,2,0,0,45,0,0,0,3,3,0,0,8,2,0,0,1,0,0,0,6,2,0,0,15,2,0,0,39,14,0,0,3,1,0,0,497,34,7,0,1,0,0,0,104,25,0,0,64,6,0,0,55,7,1,1,1,0,0,0,10,4,1,0,7382,248,53,3,27,4,0,0,1,0,0,0,0,,0,0,32,11,0,0,12,3,1,0,169,22,0,0,20,1,0,0,79,2,0,0,4,0,0,0,83 ,7 ,3 ,0 ,2,0,0,0,99,6,0,0,0,0,0,0,25,6,0,0,1,0,0,0,1,0,0,0,0,0,0,0,16,0,0,0,1,0,0,0,0,0,0,0,5,2,0,0,61,7,6,2,7,2,0,0,2,0,0,0,9,0,0,0,50,0,1,0,73,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,4,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,5,0,0,2020/3/9 12:00,,,,
